group_id,language,level,group_number,word1,definition1,word2,definition2,word3,definition3,word4,definition4,word5,definition5,sentence,prompt,image
179,Spanish,14,10,miedo,"scared, fear, afraid",curso,"course, class, grade",nos visita,"(she) is visiting us, (he) visits us, (he) is visiting us",frío,"cold, (I) fry, (I) waste",te compra,"(she) buys you, (he) buys you",,,
180,Spanish,14,11,bailar,"(to) dance, how to dance, dancing",te llamamos,(we) call you,me necesita,"(she) needs me, (he) needs me",me enseña,"(she) is teaching me, (he) teaches me, (he) is teaching me",calor,"hot, warm, heat",,,
181,Spanish,14,12,te visitan,(they) visit you,haces,"(you) make, (?) are you doing, made",de verdad,"real, for real, really",nos escuchan,(they) listen to us,veintiuno,"twenty-one, twenty first",,,
182,Spanish,14,13,alemán,German,sed,"thirsty, thirst",te conozco,(I) know you,nos llamas,call us,señoritas,"ladies, girls, young ladies",,,
183,Spanish,15,1,cierran,"(they) close, (you) are closing, close",entiendo,"(I) can understand, understand, get",se pone,"(he) puts on, (she) puts on, (?) is she putting on",empiezan,"(they) are starting, (they) start, start",me pongo,"(I) am putting on, I'm putting on, (I) put on",,,
184,Spanish,15,2,prueban,"try, touch, (they) try",puede,"(I) may, (?) could you, (?) can you",pueden,"(they) can, (you) could, may",sale,"departs, issues, (he) is leaving",prueba,"try, touch, quiz",,,
185,Spanish,15,3,ducharse,"(to) shower, (to) take a shower, shower",empieza,"begin, (?) does it start, (it) begins",hacer,"to do, (to) do, (to) make",semanas,"weeks, allowances, pocket money",cena,"dinner, supper",,,
186,Spanish,15,4,almorzamos,"(we) eat lunch, (we) have lunch, (we) are having lunch",empezar,"to start, (to) begin, (to) open",cierras,"(?) do you close, (?) can you close, (you) are closing",podemos,"can, (?) can we, (we) can",cada,"every, each",,,
187,Spanish,15,5,temprano,early,probamos,"(we) try, (we) are trying, try",vuelven,"again, (they) are going back, (you) go back",cosa,thing,tarea,"homework, assignment, task",,,
188,Spanish,15,6,antes,"before, previously, first",volver,"to go back, to return, come back",tomo,"(I) drink, drink, (I) am taking",desayuno,"breakfast, (I) eat breakfast",empiezo,"(I) am starting, (I) start, start",,,
189,Spanish,15,7,salgo,"(I) leave, I'm leaving, leaving",solo,"by itself, by myself, by yourself",cerramos,"(we) closed, (we) close, (we) lock",probar,"to try, (to) try on, (to) prove",empezamos,"(we) started, begin, (we) start",,,
190,Spanish,15,8,almorzar,"to have lunch, (to) have elevenses, (to) have a mid-morning snack",puedo,"(I) can, can, may I",pruebo,"try, touch, essay",poder,to be able to,cerrar,"to close, (to) close up, (to) close down",,,
191,Spanish,15,9,hago,"made, (I) make, make",ponerse,"to put on, (to) take (oneself), (to) fit (oneself)",vuelves,"(you) come back, (you) are going back, (you) return",diario,"paper, daily, newspaper",levantarse,"to get up, (to) take (oneself), (to) pinch (oneself)",,,
192,Spanish,15,10,volvemos,"(we) are going back, (we) return, (we) go",después,"after, next, afterward",te pones,"(you) put on, (you) wear, (?) are you putting on",almuerzan,"(they) eat lunch, (they) are having lunch, (you) have lunch",almuerzas,"(?) are you having lunch, (?) do you have lunch, lunch",,,
193,Spanish,15,11,cierran,"(they) close, (you) are closing, close",entiendo,"(I) can understand, understand, get",se pone,"(he) puts on, (she) puts on, (?) is she putting on",empiezan,"(they) are starting, (they) start, start",me pongo,"(I) am putting on, I'm putting on, (I) put on",,,
194,Spanish,15,12,prueban,"try, touch, (they) try",puede,"(I) may, (?) could you, (?) can you",pueden,"(they) can, (you) could, may",sale,"departs, issues, (he) is leaving",prueba,"try, touch, quiz",,,
195,Spanish,15,13,ducharse,"(to) shower, (to) take a shower, shower",empieza,"begin, (?) does it start, (it) begins",hacer,"to do, (to) do, (to) make",semanas,"weeks, allowances, pocket money",cena,"dinner, supper",,,
196,German,1,1,klug,smart,nett,nice,tschüss,bye,ist,"is, there is, 's",hallo,hello,,,
197,German,1,2,Milch,milk,lag,"lied, was lying, lay",groß,tall,Wein,wine,Mutter,mother,,,
198,German,1,3,a,"A, ≅ M",sehr,very,Brot,bread,ich,I,und,and,,,
199,German,1,4,Bier,beer,Maus,mouse,jung,young,du,you,vier,four,,,
200,German,1,5,ja,yes,Wasser,water,Tochter,daughter,Elefant,elephant,ie,ie,,,
201,German,1,6,Frau,"woman, wife, Ms.",Bruder,brother,die,"this, the, that",danke,thank you,meine,"mine, think, my",,,
202,German,1,7,bin,"am, will be, feel",nein,no,ach,oh,Vater,father,ein,"a, one, submit",,,
203,German,1,8,mein,my,Mann,"husband, man, guy",der,"this, to the, of the",Schwester,sister,Junge,boy,,,
204,German,1,9,Kaffee,coffee,eine,"an, a, one",oder,or,bist,"are, have been, were",bitte,please,,,
205,German,1,10,schön,beautiful,Sohn,son,Katze,cat,Tee,tea,Hund,dog,,,
206,German,1,11,klug,smart,nett,nice,tschüss,bye,ist,"is, there is, 's",hallo,hello,,,
207,German,1,12,Milch,milk,lag,"lied, was lying, lay",groß,tall,Wein,wine,Mutter,mother,,,
208,German,1,13,a,"A, ≅ M",sehr,very,Brot,bread,ich,I,und,and,,,
209,German,2,1,mit,with,Rechnung,check,natürlich,of course,gut,good,Entschuldigung,"sorry, excuse me, apologies",,,
210,German,2,2,heiß,hot,Kanada,Canada,ehe,"anyways, in any case, marriage",sah,"saw, looked, watched",prost,cheers,,,
211,German,2,3,wo,where,es geht,I'm all right,er,"it's, he's, him",bis bald,see you soon,Kellner,waiter,,,
212,German,2,4,Amerika,America,kalt,cold,bis später,see you later,Deutschland,Germany,Bär,bear,,,
213,German,2,5,zu,"with, for, too",Sandwich,sandwich,Restaurant,restaurant,Mineralwasser,mineral water,Essen,food,,,
214,German,2,6,super,"super, great, fantastic",Salat,salad,Pizza,pizza,das,"that, this, so",wunderbar,"wonderful, splendid, excellent",,,
215,German,2,7,Käse,cheese,Ei,egg,wie geht's,how are you?,es tut mir leid,I am sorry,Wurst,sausage,,,
216,German,2,8,auf Wiedersehen,goodbye,oh,"oh, aw",in,"in, with, inside",Schnitzel,"schnitzel, schnitzels",lecker,delicious,,,
217,German,2,9,Speisekarte,menu,woher,"where, from, where from",klein,small,Eule,owl,Salz,salt,,,
218,German,2,10,OK,OK,guten Tag,hello,hier,here,kommst,"come, are coming, are",Österreich,Austria,,,
219,German,2,11,mit,with,Rechnung,check,natürlich,of course,gut,good,Entschuldigung,"sorry, excuse me, apologies",,,
220,German,2,12,heiß,hot,Kanada,Canada,ehe,"anyways, in any case, marriage",sah,"saw, looked, watched",prost,cheers,,,
221,German,2,13,wo,where,es geht,I'm all right,er,"it's, he's, him",bis bald,see you soon,Kellner,waiter,,,
222,German,3,1,Freundin,"girlfriend, friend, friend's",Arzt,"doctor, physician",schwimme,"swim, am swimming, swimming",aus,"made of, out, off",schwimmst,"swim, are floating, float",,,
223,German,3,2,Frankreich,France,aufregend,"exciting, thrilling",kocht,"make, cooks, is cooking",Schach,chess,komme,"come, will come, am coming",,,
224,German,3,3,male,"paint, am painting, draw",Lehrer,"teacher, instructor, schoolteacher",manchmal,"sometimes, at times",malt,"is drawing, paints, draws",Lehrerin,"teacher, a teacher",,,
225,German,3,4,Professor,"professor, a professor",Wien,Vienna,Stadt,"city, town",teuer,"expensive, costly, dear",Schauspieler,actor,,,
226,German,3,5,deine,"your, yours",kochst,"are boiling, make, boil",Beruf,"profession, job, occupation",malst,"are painting, paint",Student,"college student, university student, student",,,
227,German,3,6,Arbeit,"work, piece of work, job",sie,she,cool,cool,dein,your,spielt,"is, are playing, is playing",,,
228,German,3,7,acht,eight,immer,always,interessant,interesting,Professorin,"professor, a professor",was,what,,,
229,German,3,8,Schauspielerin,"actress, actor",nie,never,aber,"but, however",oft,often,Studentin,"a student, college student, student",,,
230,German,3,9,Ärztin,"doctor, a doctor",au,"ow, oh, ouch",eh,"in any case, hey, anyway",schwimmt,"swim, is swimming, are floating",laut,"loud, noisy, loudly",,,
231,German,3,10,stressig,stressful,Kellnerin,"waitress, server",koche,"am making, make, will cook",auch,"also, as well, too",München,Munich,,,
232,German,3,11,Freundin,"girlfriend, friend, friend's",Arzt,"doctor, physician",schwimme,"swim, am swimming, swimming",aus,"made of, out, off",schwimmst,"swim, are floating, float",,,
233,German,3,12,Frankreich,France,aufregend,"exciting, thrilling",kocht,"make, cooks, is cooking",Schach,chess,komme,"come, will come, am coming",,,
234,German,3,13,male,"paint, am painting, draw",Lehrer,"teacher, instructor, schoolteacher",manchmal,"sometimes, at times",malt,"is drawing, paints, draws",Lehrerin,"teacher, a teacher",,,
235,German,4,1,Sie,"They, It, your",heißen,"hot, name, go",Bahnhof,"train station, railway station, rail station",Kirche,"church, kirk",elegant,elegant,,,
236,German,4,2,Kanzlerin,"chancellor, the chancellor, a chancellor",Bäckerei,"bakery, baker's",neu,new,weit weg,"far away, far",Bibliothek,library,,,
237,German,4,3,lebe,"live, am living",Universität,"university, uni, college",Apotheke,"pharmacy, drugstore, chemist",rechts,"on the right, right, the right",Markt,"market, marketplace",,,
238,German,4,4,Englisch,English,in der Nähe,"close, nearby, near",Deutsch,German,sind,"feel, have, are",Klavier,piano,,,
239,German,4,5,heiße,"hot, am called",Park,park,da drüben,over there,je,"for each, per, once",freut mich,"nice to meet you, nice",,,
240,German,4,6,Künstler,"an artist, artists', performer",links,"on the left, left, to the left",alt,old,Taxistand,taxi stand,wie,"as, such, like",,,
241,German,4,7,Geldautomat,"ATM, cash dispenser, cashpoint",Kino,"movie theater, cinema, movie theatre",spiele,"am playing, play, playing",kommen,"arrives, comes on, do come",lebst,"live, living",,,
242,German,4,8,kein,"any, no, not an",billig,"cheap, inexpensive",leben,"lived, living, are living",ha,ha,spielst,"are playing, playing, play",,,
243,German,4,9,spreche,"am talking, speak, pronounce",Herr,"Mr., gentleman",U-Bahnstation,subway station,Café,"coffee shop, cafe, coffeehouse",Supermarkt,"supermarket, grocery store",,,
244,German,4,10,Hotel,hotel,sprechen,"speak, are speaking",Polizist,"police officer, policeman, a police officer",Schüler,"students, pupil, student",Museum,museum,,,
245,German,4,11,Sie,"They, It, your",heißen,"hot, name, go",Bahnhof,"train station, railway station, rail station",Kirche,"church, kirk",elegant,elegant,,,
246,German,4,12,Kanzlerin,"chancellor, the chancellor, a chancellor",Bäckerei,"bakery, baker's",neu,new,weit weg,"far away, far",Bibliothek,library,,,
247,German,4,13,lebe,"live, am living",Universität,"university, uni, college",Apotheke,"pharmacy, drugstore, chemist",rechts,"on the right, right, the right",Markt,"market, marketplace",,,
248,German,5,1,Dollar,"dollar, dollars",sechs,six,neun,nine,Frühling,"spring, springtime",Döner,"doner kebab, kebab",,,
249,German,5,2,fünf,five,jetzt,"now, at the moment, currently",Schweden,Sweden,sonnig,sunny,Kartoffeln,potatoes,,,
250,German,5,3,null,zero,wandere,"am hiking, go hiking, hike",regnet,"rains, is raining",es,it,neblig,"foggy, misty",,,
251,German,5,4,drei,three,Euro,"euros, euro",zwei,two,wirklich,"really, actually, truly",vielen Dank,thank you very much,,,
252,German,5,5,windig,windy,gern geschehen,you are welcome,Kilo,"kilos of, kilo of, kilos",eins,one,kostet,"is, does cost, costs",,,
253,German,5,6,wanderst,"hiking, hike, go hiking",Regenschirm,umbrella,Erdbeeren,strawberries,von,"from, 's, on",Schal,"scarf, shawl",,,
254,German,5,7,im,"this, to the, in the",habt,"did, have, meet",wandern,"traveling, hiking, hike",sieben,seven,schlecht,"bad, ill, poor",,,
255,German,5,8,Wetter,weather,heute,today,Herbst,"fall, autumn",Marktplatz,"marketplace, market",Tomaten,tomatoes,,,
256,German,5,9,Anwältin,"lawyer, a lawyer",Russland,Russia,Orangen,oranges,Anwalt,"lawyer, barrister, solicitor",Wasserflasche,water bottle,,,
257,German,5,10,stark,"strong, hard, harder",bewölkt,cloudy,Winter,"winters, winter",zehn,ten,schneit,"is snowing, snows",,,
258,German,5,11,Dollar,"dollar, dollars",sechs,six,neun,nine,Frühling,"spring, springtime",Döner,"doner kebab, kebab",,,
259,German,5,12,fünf,five,jetzt,"now, at the moment, currently",Schweden,Sweden,sonnig,sunny,Kartoffeln,potatoes,,,
260,German,5,13,null,zero,wandere,"am hiking, go hiking, hike",regnet,"rains, is raining",es,it,neblig,"foggy, misty",,,
